List Size,List Type,Algorithm,Comparisons,Swaps,Time (ms)
1000,ordenada,selection_sort,499500,1000,20.23935317993164
1000,inversa,selection_sort,499500,1000,21.773576736450195
1000,aleatoria,selection_sort,499500,1000,22.780418395996094
10000,ordenada,selection_sort,49995000,10000,2214.205265045166
10000,inversa,selection_sort,49995000,10000,2295.6056594848633
10000,aleatoria,selection_sort,49995000,10000,2263.890027999878
50000,ordenada,selection_sort,1249975000,50000,56353.49774360657
50000,inversa,selection_sort,1249975000,50000,59231.06503486633
50000,aleatoria,selection_sort,1249975000,50000,58368.226289749146
100000,ordenada,selection_sort,4999950000,100000,231915.43912887573
100000,inversa,selection_sort,4999950000,100000,221131.92629814148
100000,aleatoria,selection_sort,4999950000,100000,232702.5077342987
